Rank,Title,Link,Score,Episodes,Status,Studio,Producers,Type,Genres & Themes
129,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,8.52,12,Finished Airing,Wit Studio,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
130,Shoujo☆Kageki Revue Starlight Movie,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie,8.52,1,Finished Airing,Kinema Citrus,Bushiroad,,"Drama, Music, Performing Arts, School"
131,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,8.52,25,Finished Airing,J.C.Staff,NHK,Shounen,"Comedy, Drama, Romance, Otaku Culture"
132,Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,8.52,1,Finished Airing,Sunrise,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Historical, Parody, Samurai"
133,Gintama.: Porori-hen,https://myanimelist.net/anime/35843/Gintama__Porori-hen,8.52,13,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
134,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,8.52,1,Finished Airing,Studio Ghibli,add some,,"Drama, Historical"
135,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,8.52,26,Finished Airing,Production I.G,Bandai Visual,Seinen,"Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military"
136,Kara no Kyoukai Movie 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,8.51,1,Finished Airing,ufotable,Notes,,"Action, Drama, Fantasy, Mystery, Romance, Suspense, Urban Fantasy"
137,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,8.51,26,Finished Airing,Manglobe,Victor Entertainment,,"Action, Adventure, Comedy, Historical, Samurai"
138,Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,8.51,13,Finished Airing,Madhouse,Movic,,"Adventure, Comedy, Drama, CGDCT"
139,Yuru Camp△ Season 2,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,8.51,13,Finished Airing,C-Station,Half H.P Studio,,"Slice of Life, CGDCT, Iyashikei"
140,Tian Guan Cifu Special,https://myanimelist.net/anime/44070/Tian_Guan_Cifu_Special,8.50,1,Finished Airing,Haoliners Animation League,bilibili,,"Action, Adventure, Drama, Fantasy, Historical, Mythology"
141,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.50,39,Finished Airing,David Production,Warner Bros. Japan,Shounen,"Action, Adventure, Super Power"
142,Ousama Ranking,https://myanimelist.net/anime/40834/Ousama_Ranking,8.50,23,Finished Airing,Wit Studio,Aniplex,,"Adventure, Fantasy"
143,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,8.49,1,Finished Airing,Shaft,Aniplex,,"Award Winning, Drama, Suspense, Mahou Shoujo, Psychological"
144,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,8.49,12,Finished Airing,Bones,Warner Bros. Japan,,"Action, Comedy, Supernatural"
145,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man,8.49,12,Finished Airing,Madhouse,TV Tokyo,Seinen,"Action, Comedy, Adult Cast, Parody, Super Power"
146,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,8.49,12,Finished Airing,Wit Studio,TV Tokyo,Shounen,"Action, Award Winning, Comedy, Childcare, Super Power"
147,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,8.49,12,Finished Airing,CloverWorks,Aniplex,Shounen,"Mystery, Suspense, Psychological, Survival"
148,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,8.48,99,Finished Airing,A-1 Pictures,Yomiuri Telecasting,Seinen,"Comedy, Adult Cast, Space, Workplace"
149,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,8.48,25,Finished Airing,Lerche,Dentsu,Shounen,"Action, Comedy, School"
150,Aria the Origination,https://myanimelist.net/anime/3297/Aria_the_Origination,8.48,13,Finished Airing,HAL Film Maker,TV Tokyo,Shounen,"Fantasy, Sci-Fi, Slice of Life, Iyashikei"
151,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,8.48,12,Finished Airing,MAPPA,dugout,Shounen,"Action, Fantasy, Gore, Urban Fantasy"
152,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,8.47,1,Finished Airing,ufotable,Aniplex,,"Action, Fantasy, Urban Fantasy"
153,Nichijou,https://myanimelist.net/anime/10165/Nichijou,8.47,26,Finished Airing,Kyoto Animation,Lantis,Shounen,"Comedy, Gag Humor, School"
154,Pluto,https://myanimelist.net/anime/35737/Pluto,8.47,8,Finished Airing,Studio M2,Genco,Seinen,"Action, Mystery, Sci-Fi, Suspense, Detective, Psychological"
155,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,8.47,25,Finished Airing,OLM,Shogakukan-Shueisha Productions,Shounen,"Mystery, Supernatural, Suspense, Time Travel"
156,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,8.46,112,Finished Airing,Pierrot,Yomiko Advertising,Shounen,"Action, Supernatural, Martial Arts, Mythology"
157,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish,8.46,24,Finished Airing,MAPPA,Aniplex,Shoujo,"Action, Adventure, Drama, Suspense, Delinquents, Organized Crime, Psychological"
158,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,8.46,24,Finished Airing,Madhouse,Kodansha,Josei,"Drama, Sports, Love Polygon, School, Strategy Game"
159,Gintama: The Semi-Final,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,8.46,2,Finished Airing,Bandai Namco Pictures,add some,Shounen,"Action, Comedy, Gag Humor, Historical, Parody, Samurai"
160,Mo Dao Zu Shi,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,8.46,15,Finished Airing,B.CMAY PICTURES,Aniplex,,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation"
161,Mo Dao Zu Shi: Xian Yun Pian,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian,8.46,8,Finished Airing,B.CMAY PICTURES,Tencent Penguin Pictures,,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation"
162,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,8.46,26,Finished Airing,Madhouse,VAP,Seinen,"Drama, Suspense, Delinquents, Historical"
163,Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,8.45,26,Finished Airing,ufotable,Aniplex,Shounen,"Action, Award Winning, Supernatural, Historical"
164,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari,8.45,12,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Supernatural, Vampire"
165,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,8.45,1,Finished Airing,White Fox,Frontier Works,,"Drama, Sci-Fi"
166,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,8.44,6,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Supernatural, Vampire"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,8.44,24,Finished Airing,David Production,Yomiko Advertising,Shounen,"Action, Adventure, Super Power"
168,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,8.44,1,Finished Airing,Shin-Ei Animation,TOHO animation,Shounen,"Love Status Quo, School"
169,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2,8.44,12,Finished Airing,Studio Bind,Frontier Works,,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation"
170,Bungou Stray Dogs 4th Season,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,8.44,13,Finished Airing,Bones,WOWOW,Seinen,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power"
171,Golden Kamuy 3rd Season,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,8.44,12,Finished Airing,Geno Studio,Magic Capsule,Seinen,"Action, Adventure, Adult Cast, Historical, Military"
172,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,8.44,12,Finished Airing,Zero-G,Mainichi Broadcasting System,Seinen,"Comedy, Adult Cast, Gag Humor"
173,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,8.44,25,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
174,Mushishi Zoku Shou: Odoro no Michi,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi,8.43,1,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
175,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,8.43,12,Finished Airing,White Fox,AT-X,,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel"
176,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,8.42,1,Finished Airing,MAPPA,Mainichi Broadcasting System,Shounen,"Action, Supernatural, School"
177,Kono Oto Tomare! Part 2,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2,8.42,13,Finished Airing,Platinum Vision,WOWOW,Shounen,"Drama, Music, School"
178,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,8.42,1,Finished Airing,J.C.Staff,Half H.P Studio,,"Adventure, Comedy, Fantasy, Isekai, Parody"
179,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,8.42,26,Finished Airing,Production I.G,Bandai Visual,Seinen,"Action, Award Winning, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military"
180,Mononoke,https://myanimelist.net/anime/2246/Mononoke,8.42,12,Finished Airing,Toei Animation,Dentsu,,"Horror, Mystery, Supernatural, Suspense, Adult Cast, Historical, Mythology, Psychological"
181,Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,8.42,1,Finished Airing,Shuka,Aniplex,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
182,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,8.42,1,Finished Airing,CloverWorks,Aniplex,,"Comedy, Romance, Harem, Otaku Culture, School"
183,Tian Guan Cifu,https://myanimelist.net/anime/40730/Tian_Guan_Cifu,8.42,11,Finished Airing,Haoliners Animation League,bilibili,,"Action, Adventure, Drama, Fantasy, Historical, Mythology"
184,Wu Liuqi: Xuanwu Guo Pian,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian,8.42,10,Finished Airing,Sharefun Studio,AHA Entertainment,,"Action, Adventure, Comedy, Drama, Mystery, Martial Arts, Super Power"
185,Gintama: Yorinuki Gintama-san on Theater 2D,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D,8.42,2,Finished Airing,Sunrise,add some,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
186,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,8.42,62,Finished Airing,Nippon Animation,Fuji TV,Shounen,"Action, Adventure, Fantasy"
187,Ao no Hako,https://myanimelist.net/anime/57181/Ao_no_Hako,8.41,25,Currently Airing,Telecom Animation Film,TBS,Shounen,"Romance, Sports, School, Team Sports"
188,Doupo Cangqiong: Nian Fan,https://myanimelist.net/anime/51039/Doupo_Cangqiong__Nian_Fan,8.41,157,Currently Airing,Motion Magic,Tencent Penguin Pictures,,"Action, Adventure, Fantasy, Martial Arts"
189,Saiki Kusuo no Ψ-nan,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan,8.41,120,Finished Airing,J.C.Staff,TV Tokyo,Shounen,"Comedy, Gag Humor, School, Super Power"
190,Saiki Kusuo no Ψ-nan 2,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2,8.41,24,Finished Airing,J.C.Staff,TV Tokyo,Shounen,"Comedy, Gag Humor, School, Super Power"
191,Shingeki no Kyojin: Kuinaki Sentaku,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku,8.41,2,Finished Airing,Wit Studio,Production I.G,,Action
192,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou,8.41,1,Finished Airing,Kyoto Animation,Shochiku,,Drama
193,Yuru Camp△ Movie,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie,8.40,1,Finished Airing,C-Station,Sotsu,,"Slice of Life, Adult Cast, CGDCT, Iyashikei"
194,Girls Band Cry,https://myanimelist.net/anime/55102/Girls_Band_Cry,8.40,13,Finished Airing,Toei Animation,agehasprings,,"Drama, Music"
195,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,8.40,12,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Comedy, Romance, School"
196,Kamisama Hajimemashita: Kako-hen,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen,8.40,4,Finished Airing,TMS Entertainment,add some,Shoujo,"Comedy, Romance, Supernatural, Mythology, Time Travel"
197,Natsume Yuujinchou Roku Specials,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials,8.40,2,Finished Airing,Shuka,NAZ,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
198,Josee to Tora to Sakana-tachi,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,8.39,1,Finished Airing,Bones,Shochiku,,"Drama, Romance, Adult Cast, Visual Arts"
199,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,8.39,12,Finished Airing,Shin-Ei Animation,Shogakukan-Shueisha Productions,Shounen,"Comedy, Love Status Quo, School"
200,Major S5,https://myanimelist.net/anime/5028/Major_S5,8.39,25,Finished Airing,SynergySP,Shogakukan-Shueisha Productions,Shounen,"Sports, Team Sports"
201,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,8.39,1,Finished Airing,P.A. Works,Bandai Visual,,"Drama, Fantasy"
202,Vivy: Fluorite Eye's Song,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,8.39,13,Finished Airing,Wit Studio,Aniplex,,"Action, Sci-Fi, Suspense, Music, Time Travel"
203,Blue Giant,https://myanimelist.net/anime/50183/Blue_Giant,8.39,1,Finished Airing,Nut,TOHO animation,Seinen,Music
204,Houseki no Kuni,https://myanimelist.net/anime/35557/Houseki_no_Kuni,8.39,12,Finished Airing,Orange,Mainichi Broadcasting System,Seinen,"Action, Drama, Fantasy, Mystery, Anthropomorphic"
205,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,8.38,25,Finished Airing,Madhouse,VAP,Josei,"Drama, Sports, Love Polygon, School, Strategy Game"
206,Cowboy Bebop: Tengoku no Tobira,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,8.38,1,Finished Airing,Bones,Sunrise,,"Action, Sci-Fi, Adult Cast, Space"
207,Fruits Basket: Prelude,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude,8.38,1,Finished Airing,TMS Entertainment,TV Tokyo,Shoujo,"Drama, Romance"
208,Gintama°: Aizome Kaori-hen,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen,8.38,2,Finished Airing,Bandai Namco Pictures,TV Tokyo,Shounen,"Comedy, Gag Humor, Parody"
209,Kaze ga Tsuyoku Fuiteiru,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru,8.38,23,Finished Airing,Production I.G,Movic,,"Drama, Sports, Adult Cast, Racing"
210,Made in Abyss Movie 2: Hourou Suru Tasogare,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare,8.38,1,Finished Airing,Kinema Citrus,AT-X,,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore"
211,Ramayana: The Legend of Prince Rama,https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama,8.38,1,Finished Airing,Nippon Ramayana Film Co.,"TEM Co., Ltd.",,Adventure
212,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go,8.37,1,Finished Airing,ufotable,Notes,,"Action, Fantasy, Mystery, Romance, Suspense, Urban Fantasy"
213,Kono Subarashii Sekai ni Shukufuku wo! 3,https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3,8.37,11,Finished Airing,Drive,Half H.P Studio,,"Adventure, Comedy, Fantasy, Isekai, Parody"
214,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,8.37,12,Finished Airing,Shaft,Aniplex,,"Award Winning, Drama, Suspense, Mahou Shoujo, Psychological"
215,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari,8.37,1,Finished Airing,Shaft,Aniplex,,"Drama, Suspense, Mahou Shoujo, Psychological"
216,3-gatsu no Lion,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,8.37,22,Finished Airing,Shaft,Aniplex,Seinen,"Drama, Childcare, Strategy Game"
217,Barakamon,https://myanimelist.net/anime/22789/Barakamon,8.37,12,Finished Airing,Kinema Citrus,VAP,,"Slice of Life, Childcare, Iyashikei, Visual Arts"
218,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,8.37,50,Finished Airing,SynergySP,TV Tokyo,Shounen,"Drama, Romance, Sports, School, Team Sports"
219,Haikyuu!! To the Top,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top,8.37,13,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
220,Tensei shitara Slime Datta Ken 2nd Season,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,8.37,12,Finished Airing,8bit,Kodansha,Shounen,"Action, Adventure, Comedy, Fantasy, Isekai, Reincarnation"
221,Kimetsu no Yaiba: Mugen Ressha-hen,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,8.36,7,Finished Airing,ufotable,Aniplex,Shounen,"Action, Supernatural, Historical"
222,Kizumonogatari I: Tekketsu-hen,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,8.36,1,Finished Airing,Shaft,Aniplex,,"Action, Mystery, Supernatural, Vampire"
223,Meitantei Conan Movie 26: Kurogane no Submarine,https://myanimelist.net/anime/53540/Meitantei_Conan_Movie_26__Kurogane_no_Submarine,8.36,1,Finished Airing,TMS Entertainment,Shogakukan-Shueisha Productions,Shounen,"Action, Mystery, Detective"
224,Mushoku Tensei: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,8.36,11,Finished Airing,Studio Bind,Frontier Works,,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation"
225,Non Non Biyori Nonstop,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop,8.36,12,Finished Airing,SILVER LINK.,TV Tokyo,Seinen,"Slice of Life, CGDCT, Iyashikei"
226,Gintama: Shiroyasha Koutan,https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan,8.36,1,Finished Airing,Sunrise,add some,,"Action, Comedy, Sci-Fi, Historical, Parody"
227,Baccano!,https://myanimelist.net/anime/2251/Baccano,8.35,13,Finished Airing,Brain's Base,Aniplex,,"Action, Mystery, Supernatural, Adult Cast, Historical, Organized Crime"
228,Hellsing Ultimate,https://myanimelist.net/anime/777/Hellsing_Ultimate,8.35,10,Finished Airing,Madhouse,GDH,Seinen,"Action, Horror, Supernatural, Adult Cast, Gore, Military, Vampire"
229,Initial D First Stage,https://myanimelist.net/anime/185/Initial_D_First_Stage,8.35,26,Finished Airing,Gallop,OB Planning,Seinen,"Action, Drama, Racing"
230,Shinseiki Evangelion,https://myanimelist.net/anime/30/Shinseiki_Evangelion,8.35,26,Finished Airing,Gainax,TV Tokyo,,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense, Mecha, Psychological"
231,Tunshi Xingkong 3rd Season,https://myanimelist.net/anime/56523/Tunshi_Xingkong_3rd_Season,8.35,33,Finished Airing,Sparkly Key Animation Studio,Tencent Animation & Comics,,"Action, Adventure, Fantasy, Sci-Fi, Martial Arts"
232,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,8.35,12,Finished Airing,feel.,Marvelous Entertainment,,"Comedy, Romance, Love Polygon, School"
233,K-On! Movie,https://myanimelist.net/anime/9617/K-On_Movie,8.35,1,Finished Airing,Kyoto Animation,Pony Canyon,,"Award Winning, Comedy, CGDCT, Music"
234,Kaze no Tani no Nausicaä,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä,8.35,1,Finished Airing,Topcraft,Omnibus Promotion,,"Adventure, Award Winning, Fantasy"
235,Bakuman. 2nd Season,https://myanimelist.net/anime/10030/Bakuman_2nd_Season,8.34,25,Finished Airing,J.C.Staff,NHK,Shounen,"Comedy, Drama, Romance, Otaku Culture"
236,Fumetsu no Anata e,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,8.34,20,Finished Airing,Brain's Base,NHK,Shounen,"Adventure, Drama, Supernatural"
237,Girls & Panzer: Saishuushou Part 4,https://myanimelist.net/anime/39167/Girls___Panzer__Saishuushou_Part_4,8.34,1,Finished Airing,Actas,Bandai Visual,,"CGDCT, Military, School"
238,IDOLiSH7 Third Beat! Part 2,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2,8.34,17,Finished Airing,TROYCA,add some,,"Drama, Idols (Male), Music"
239,Versailles no Bara,https://myanimelist.net/anime/338/Versailles_no_Bara,8.34,40,Finished Airing,Tokyo Movie Shinsha,Nippon Television Network,Shoujo,"Drama, Romance, Historical, Military"
240,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou,8.34,1,Finished Airing,Kyoto Animation,Lantis,,Drama
241,Wu Shan Wu Xing: Xichuan Huan Zi Lin,https://myanimelist.net/anime/50407/Wu_Shan_Wu_Xing__Xichuan_Huan_Zi_Lin,8.34,4,Finished Airing,Samsara Animation Studio,bilibili,,"Action, Fantasy, Supernatural, Historical, Martial Arts"
242,Usagi Drop,https://myanimelist.net/anime/10162/Usagi_Drop,8.33,11,Finished Airing,Production I.G,Dentsu,Josei,"Slice of Life, Childcare, Iyashikei"
243,Kage no Jitsuryokusha ni Naritakute! 2nd Season,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season,8.33,12,Finished Airing,Nexus,AT-X,,"Action, Comedy, Fantasy, Isekai, Reincarnation"
244,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,8.33,6,Finished Airing,Sunrise,Sotsu,Shounen,"Action, Sci-Fi, Mecha, Military, Space"
245,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,8.33,24,Finished Airing,Madhouse,VAP,Seinen,"Action, Horror, Sci-Fi, Suspense, Gore, Psychological"
246,Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni,8.33,1,Finished Airing,Brain's Base,Aniplex,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
247,One Outs,https://myanimelist.net/anime/5040/One_Outs,8.33,25,Finished Airing,Madhouse,VAP,Seinen,"Sports, Suspense, Adult Cast, Psychological, Team Sports"
248,Psycho-Pass,https://myanimelist.net/anime/13601/Psycho-Pass,8.33,22,Finished Airing,Production I.G,Dentsu,,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological"
249,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,8.33,13,Finished Airing,White Fox,AT-X,,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel"
250,Douluo Dalu 2nd Season,https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season,8.33,237,Finished Airing,Sparkly Key Animation Studio,Tencent Penguin Pictures,,"Action, Adventure, Fantasy, Supernatural, Historical, Martial Arts"
251,Dr. Stone: New World Part 2,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,8.33,11,Finished Airing,TMS Entertainment,TOHO animation,Shounen,"Adventure, Comedy, Sci-Fi"
252,Hibike! Euphonium 2,https://myanimelist.net/anime/31988/Hibike_Euphonium_2,8.33,13,Finished Airing,Kyoto Animation,Lantis,,"Drama, Music, Performing Arts, School"
253,Bakemonogatari,https://myanimelist.net/anime/5081/Bakemonogatari,8.32,15,Finished Airing,Shaft,Aniplex,,"Mystery, Romance, Supernatural, Vampire"
254,Fate/stay night: Unlimited Blade Works 2nd Season,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,8.32,13,Finished Airing,ufotable,Aniplex,,"Action, Fantasy, Urban Fantasy"
255,Tensei shitara Slime Datta Ken 2nd Season Part 2,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,8.32,12,Finished Airing,8bit,Kodansha,Shounen,"Action, Adventure, Comedy, Fantasy, Isekai, Reincarnation"
